Date of Incident,"Company, City, State, ZIP",Preliminary Description of Incident,Fatality or Catastrophe
8/15/2013,"Wire Mesh Corp., Jacksonville, FL 32226",Worker was fatally crushed between feeding cart and feeding tray roller assembly.,Fatality
8/14/2013,"Aldridge Electric Inc., New Prague, MN 56071",Electrical worker died after falling into 50 foot hole.,Fatality
8/14/2013,"Brothers With Brushes, Warrenton, MO 63383",Worker electrocuted by high tension wires.,Fatality
8/14/2013,"F&T  Farms, Caruthers, CA  93609",Worker crushed and killed after being caught between dump truck and parked trailer.,Fatality
8/14/2013,"GroundsCare Landscape LLC, Watchung, NJ 07069",Landscape worker died from bee sting.,Fatality
8/14/2013,"LTM Inc., Wolf Creek, OR 97497",Worker struck and killed when a semi-truck while working on the grass side of a guardrail.,Fatality
8/14/2013,"PermaFix of South Georgia Inc., Valdosta, GA 31601",Three workers hospitalized during a chemical fire. ,Catastrophe
8/14/2013,"Timco Services Inc., Fort Polk, LA 71459",Worker died after falling 30 feet when the air hoist line became caught on an oil rig during rig-up operations.,Fatality
8/14/2013,"Unlimited Landscape, Costa Mesa, CA 92626",Worker died after falling from 10-foot ladder.,Fatality
8/13/2013,"Elk Grove Milling Inc., Elk Grove, CA 95757",Worker killed when forklift rolled over onto him. ,Fatality
8/13/2013,"JAG Construction, Hugoton, Goton, KS 67951","Worker died in concrete truck accident.
",Fatality
8/13/2013,"John Wilkes Tree Service, Middleburg, FL 32068",Worker died in 50-foot fall from tree during trimming operations.,Fatality
8/13/2013,"Owens Lumber Company Inc., Tallapoosa, GA 30176",Worker operating an edger struck and kille by a piece of lumber that was ejected from edging machine.  ,Fatality
8/12/2013,"Atlantis Electronics Corporation, Pompano Beach, FL 33069",Warehouse worker died after falling from a ladder.,Fatality
8/12/2013,"D & D Maintenance Services Inc., Hannahan, SC 29410",Worker electrocuted while performing work on a HVAC unit.  ,Fatality
8/12/2013,"Dave Gryp Construction Inc., Victor, IA 52347",Worker struck and killed by skid loader while unloading wood posts. ,Fatality
8/12/2013,"Jim Young Construction Company Inc., Andrews, SC 29510",Worker performing flag work in a road construction zone killed in a multiple vehicle collision.,Fatality
8/12/2013,"Techline Construction LLC, Victoria, TX 77905",Worker electrocuted by exposed and energized transmission line.,Fatality
8/12/2013,"Thebeau Builders, Saint Clair, MO 63077",Three workers hospitalized during truss collapse.,Catastrophe
8/12/2013,"Transmit Program Management LLC, Coats, NC 27521",Worker died after falling 200 feet from communication tower.,Fatality
8/11/2013,"All Season Roofing & Restoration, Kansas City, MO 64120",Worker died in fall through skylight while installing insulation on a roof.,Fatality
