Fiscal Year ,Summary Report Date,Date of Incident,Company,Preliminary Description of Incident
FY 2011,11/13/10,11/10/10,"F. Miller Construction, LLC.,, Grand Isle, LA 70358",A pile of lead fell and struck worker on the torso and head.
FY 2011,11/13/10,11/10/10,"Lassen Forest Products, Red Bluff, CA  96080",Worker fell into a wood chipper.
FY 2011,11/13/10,11/12/10,"Pike Feeds, Inc.,, Pittsfield, IL 62363",Worker fell from a catwalk used to assist in loading trucks with livestock feed.  Worker fatally struck his head when he impacted the ground.
FY 2011,11/13/10,11/13/10,"Victor Sosa Construction,, Salem, MA 01915","While workers were repairing a flat roof that had gravel on it, the gravel was collected into sandbags.  One bag, with rope and hook still attached, fell off roof without any resistance and fatally struck a worker in the head."
FY 2011,11/20/10,07/29/10,"A.B.B.T.S. Inc.,, Lutherville, MD 21093",Worker was cutting down a dead tree which fell against another tree.  The second tree broke off and struck the victim on the head
FY 2011,11/20/10,08/11/10,"Pioneer Contracting Co. Inc.,, Baltimore, MD 21224",Worker died after falling 23 feet onto two concrete pipes while trying to cross a Jersey wall along an elevated highway ramp.
FY 2011,11/20/10,09/01/10,"McLaughlin Electric Company, Fort Washington, MD  20744",Worker died after being pinned between parked trailer and truck.
FY 2011,11/20/10,09/11/10,"Barcelona Nut Company, Baltimore, MD 21223",Worker was on a roof changing air conditioner filters when he fell through a skylight and landed 17 feet below onto a lower level.
FY 2011,11/20/10,09/14/10,"United Sheet Metal, Inc.,, Baltimore, MD 21231",Worker fell 8 feet from a stepladder onto the concrete floor below.
FY 2011,11/20/10,09/24/10,"R.H. Fewster Painting Co., Inc., Baltimore, MD 21210",Worker fell off a slate roof while painting a cornice.
FY 2011,11/20/10,10/04/10,"Chemplex LLC,, Snyder, TX 79549","Three workers were burned in a flash fire in a blending vat.  One of the injured workers, hospitalized with burns over 45% of his body, passed away a few weeks later."
FY 2011,11/20/10,10/14/10,"Classic Ironworks, Incorporated, Odenton, MD 21113","Workers were setting structural steel and decking on top of cinder block walls.  When a second bundle of decking was placed on unsecured joists, the joists rolled and fell on the victim."
FY 2011,11/20/10,10/21/10,"Colossal Contractors, Inc., Waldorf, MD 20602","Two workers, picking up litter on a median strip, were both struck and killed by a highway vehicle which left the road."
FY 2011,11/20/10,10/25/10,"Empire Distributors of North Carolina, Inc.,, Charlotte, NC 28273",Worker died after falling 12 to 15 feet to the concrete floor from an aerial work platform used for picking orders.
FY 2011,11/20/10,11/02/10,"Gibson Logging Enterprises Inc, Holmes Mill, KY 40843",Worker suffered fatal injuries after being struck while cutting timber on a steep slope.
FY 2011,11/20/10,11/09/10,"Duplichain Contractors,, Nacodoches, TX 75965",A water line ditch approximately 7 feet deep caved in on a worker as he was installing a tracer wire.  Preliminary investigation suggests that no cave-in protection was in use at the time of the incident.
FY 2011,11/20/10,11/11/10,"Karr Home Improvement,, Chicago, IL 60623",The worker fell from an undetermined height.
FY 2011,11/20/10,11/11/10,"Prestige Decorating, Inc.,, Elmhurst, IL 60126",Worker fell from a ladder while caulking a window on a residential structure.
FY 2011,11/20/10,11/12/10,"Forestry Services,, Unadilla, NY 13849",Worker was struck by a tree while cutting down an adjacent tree.
FY 2011,11/20/10,11/12/10,"Mountain States Contractors, LLC.,, Memphis TN 37501",Worker drowned after falling into a river when the guardrail system that the employee was tied to was struck by a hammer that fell from a crane bucket.
FY 2011,11/20/10,11/13/10,"Dunrite LLC,, West Caldwell, NJ 07006",Worker went through a skylight and fell approximately 40 feet to the floor.
FY 2011,11/20/10,11/13/10,"Tommy Faxon Excavation,, Chatham, NY 12037",Worker was struck and killed by a tree falling from a dump truck.
FY 2011,11/20/10,11/14/10,"Cal-Trans, Chico, CA 95973",Traffic control worker struck by drunk driver while working traffic patrol on the highway.
FY 2011,11/20/10,11/15/10,"John Charles Traverso dba Traverso Tree Service,, Concord, CA  94521",Worker died after being partially pulled into a wood chipper. Foot/ankle got caught in rope and pulled him in. Died from head injury when his head hit the gate on the chute. No contact with blades.
FY 2011,11/20/10,11/16/10,"Accent Stripe, Inc.,, Buffalo, NY 14210","While road painting, worker was killed when the vehicle he was working from was struck by a passing tank truck."
FY 2011,11/20/10,11/16/10,"Advocate Condell Medical Center,, Libertyville, IL 60048",Maintenance worker went into an area under construction for an unknown reason.  Lead-lined drywall fell onto the worker when he tried to move the cart it was on.
FY 2011,11/20/10,11/16/10,"Basic Energy Services,, Quitman, LA 71268","Worker was standing by at a well platform while circulation and cleaning was being performed in the well.  A tube rushed up and out of the well.  As everyone ran for cover, a portion of the tube struck the worker in the head and killed him."
FY 2011,11/20/10,11/16/10,"Daves Wrecker Service,, Houston, TX 77054","While letting a truck down from his wrecker, worker was caught and crushed between the two vehicles."
FY 2011,11/20/10,11/16/10,"McKinney Drilling Company, Inc.,, Kearneysville, WV 25213",Worker was operating a drilling rig.  He was crushed when the rig platform broke and fell on top of him.
FY 2011,11/20/10,11/16/10,"Star Transport, Inc.,, Temple, TX 76503",Potential carbon monoxide poisoning: worker was found dead in the sleeper berth of a locked tractor trailer.
FY 2011,11/20/10,11/17/10,"American Food Service, Santa Clara, CA 95051",Worker died of acute exposure to carbon monoxide while using a gas-powered pressure washer inside a freezer.
FY 2011,11/20/10,11/17/10,"Selsor Construction, Madera, CA 93637","Worker who was picking concrete boulders out of a hole, was run over by a frontend loader that backed up over him."
FY 2011,11/20/10,11/17/10,"TLC Exteriors, LLC.,, South Hadley, MA 01075","While erecting scaffolding, worker fell approximately 30 feet to the ground."
FY 2011,11/20/10,11/18/10,"Sebastian Soto Concrete,, Carrolton, TX 75052","Worker reached out of loader to retrieve tool while loader's bucket was elevated.  The bucket fell, struck the worker's head, and trapped the worker between it and the loader."
FY 2011,11/20/10,11/19/10,"Western States Fire Protection Co.,, Austin, TX 78713",Worker was painting pipe when he fell off an eight-foot ladder and fatally struck his head.
FY 2011,11/27/10,10/24/10,"Midwest Auto Transport Inc.,, Clyde, OH 43410","Wheel assembly exploded, fatally striking employee."
FY 2011,11/27/10,11/20/10,"American Fireworks Mfg Co. Inc.,, Utica, NY 13502",Worker was struck by fireworks during a fireworks show.
FY 2011,11/27/10,11/22/10,"Ledoux Control Systems,, New Orleans, LA 70112","Workers were pulling cable between two rooms.  Two workers found the third worker, who had been working alone, unconscious.  Worker was later pronounced dead at hospital."
FY 2011,11/27/10,11/22/10,"Wolf Creek Ski Lodge,, Pagosa Springs, CO 81147",Ski patrol employee was killed in an avalanche.
FY 2011,11/27/10,11/24/10,"Baxter Healthcare Corporation,, Cherry Hill, NJ 08003",The worker collapsed and died in the locker room.
