Fiscal Year ,Summary Report Date,Date of Incident,Company,Preliminary Description of Incident
FY 2011,11/27/10,11/24/10,"Melton Truck Lines,, Eau Claire, WI 54703",Truck driver picked up a load of insulation and began covering the load with tarp.  Driver was later found dead on top of the load and underneath the tarp.  Cause of death currently unknown.
FY 2011,11/27/10,11/27/10,"Patterson UTI Drilling Co., LLC, Rig 520,, Cotulla, TX 78014","While workers were rigging up a drill rig, the bottom came loose when the crew picked up the rig.  The bottom swung free and fatally struck an employee."
FY 2011,12/04/10,10/28/10,"Prestige Security Inc,, Coral Springs, FL 33065","The worker tripped on a median curb, fell backwards and struck his head on a car."
FY 2011,12/04/10,11/06/10,"Joe Leduff,, Owensboro, KY  42301",Worker was electrocuted while attempting to reposition an aluminum ladder.  The ladder created an arc from the overhead lines.  Second employee was hospitalized.
FY 2011,12/04/10,11/23/10,"Harsco Metals ARI, LLC,, Ghent, KY  41045","One worker was killed and 5 others injured, one critically, when the workers were removing a chain from a tire on a front-end loader and the tire exploded."
FY 2011,12/04/10,11/23/10,"Searcy Healthcare Center, LLC,, Searcy, AR  72143",Worker was hanging curtains and fell from a ladder.
FY 2011,12/04/10,11/23/10,"US Postal Service,, Petoskey, MI 49770","While delivering mail, worker lost consciousness and hit a parked car.  Cardiac arrest likely."
FY 2011,12/04/10,11/24/10,"Reed Construction,, Knoxville, TN  37914","Worker fell 12 feet from the edge of a roof while in the process of measuring and marking metal panels for installation. During the fall, the victim stuck both a stairwell and handrail."
FY 2011,12/04/10,11/24/10,"Roberts Bros., Inc.,, Shawboro, NC  27973",A worker servicing a vehicle was run over when a co-worker moved the vehicle.
FY 2011,12/04/10,11/25/10,"Stock Automotive Repair,, Lodi, CA  95242","Worker found on floor, after apparent fall from ladder; ladder may have been damaged."
FY 2011,12/04/10,11/26/10,"Chicago Police Department,, Chicago, IL  60601",A Chicago police officer was shot and killed while processing the scene of a burglary inside a garage.
FY 2011,12/04/10,11/28/10,"Kurk Haslow Farms,, Loyal, WI 54449","Worker was caught between a gate and a building, while herding cows into a barn for milking."
FY 2011,12/04/10,11/29/10,"J & D Rack,, Cincinnati, OH 45238",Worker was engaged in cleaning debris from a 60-inch storm sewer pipe and collapsed from health issues.
FY 2011,12/04/10,11/29/10,"Payne Transportation LP,, Shelby, OH 44875",Worker was struck by a semi-truck as he was walking across a parking lot.
FY 2011,12/04/10,11/29/10,"Trinity Marine Products Inc.,, Ashland City, TN  37015",Worker was crushed by a metal frame that fell and struck him.
FY 2011,12/04/10,11/30/10,"Advanced Imaging Technologies,, West Yarmouth , MA 02673",Worker fell from a 9-foot high unguarded mezzanine while working.
FY 2011,12/04/10,11/30/10,"Allocco Recycling LTD,, Brooklyn, NY 11237",Worker was found crushed between the conveyor belt and roller.
FY 2011,12/04/10,11/30/10,"Mille Lacs Band of Ojibwe,, Onamia, MN 56359","Worker was found unresponsive at his vehicle in a parking lot, outside the casino, where he worked; possible heart disease."
FY 2011,12/04/10,11/30/10,"Peconic Land Trust Inc,, Amagansett, NY 11930",Worker was crushed by a tractor.
FY 2011,12/04/10,12/01/10,"Burlington Northern Santa Fe,, Superior, WI 54880","Worker was working on an elevated catwalk of a material handling system, and was caught between the material chute and the framework of a  moving shuttle conveyor."
FY 2011,12/04/10,12/01/10,"Schindler Elevator Corporation,, Louisville, KY  42546",Worker was working alone on an elevator when he was trapped between an elevator car and a fixed ladder and was crushed.
FY 2011,12/04/10,12/02/10,"Faith Technologies,, Green Bay, WI 54307","A lift truck backed into a scissor lift that was being operated by two employees. The scissor lift tipped forward and fell to the ground. Both workers were taken to the hospital, where one worker died."
FY 2011,12/04/10,12/03/10,"C & C Construction & Floor Covering, Inc.,, Junction City, KS  66441",Worker was working on a new construction residence and fell from a ladder.
FY 2011,12/04/10,12/03/10,"Helping Hands Recycling,, Reedsburg, WI  53959","Worker was approaching a semi-trailer to open the trailer doors and was struck by a straight truck, pinning him against the semi-trailer."
FY 2011,12/04/10,12/03/10,"Putnam and Sons Trucking,, Towanda, PA  18848",Worker was struck by a vehicle.
FY 2011,12/04/10,12/04/10,"Pride Capitol LLC,, Philadelphia, PA 19137",Worker was installing new hinges on the doors of an electrical transformer and contacted an energized conductor inside.
FY 2011,12/11/10,11/19/10,"Rexnore Industries, Inc.,, Auburn, AL  36832","Worker was conducting repairs on a milling machine, which was not locked out.  The machine started, crushing the worker."
FY 2011,12/11/10,12/02/10,"LMS Intellibound, Inc.,, Dunn, NC 28334","Worker was operating a stand-up type, reach-rider, high-lift truck in reverse when he struck an empty wooden pallet positioned on the forks of an unmanned reach-rider truck.  The worker contacted the pallet with his upper chest and the force lifted him off the deck of the operator's position and crushed him against the vertical boom of the lift.  Worker was operating both forklifts in performance of his job."
FY 2011,12/11/10,12/02/10,"Professional Metal Roofs,, Huntsville, AL  35805",Worker was pulling the rubber roofing and fell 15 to 20 feet through a skylight.
FY 2011,12/11/10,12/02/10,"Sharps Mill Forest Products, Inc.,, Palmyra, TN 37142","Worker was felling trees in a tract with vines intertwined among the trees when one tree uprooted another, which struck and killed the worker."
FY 2011,12/11/10,12/02/10,"State Armory NYS Div Military & Naval Affairs, New York, NY 11433","Worker was putting a tarp on a leaky roof when he lost his footing, falling about 60 feet through a glass skylight."
FY 2011,12/11/10,12/03/10,"Air Control, LLC.,, Andalosia, AL  36421",Worker was installing heating and cooling equipment and fell from a ladder.
FY 2011,12/11/10,12/03/10,"Draeger Construction Inc.,, Concord, CA 95112",Worker died after receiving multiple bee stings while working outside an apartment building.
FY 2011,12/11/10,12/03/10,"G & M Metals, Inc.,, Wood Dale, IL  60191",Worker was inside a baler performing maintenance or troubleshooting and was crushed by the ram.
FY 2011,12/11/10,12/03/10,"Kramer Tree Specialists, Incorporated,, Chicago, IL 60804",Worker during felling operations of a wood communication pole was struck by the pole.
FY 2011,12/11/10,12/04/10,"Snelson Companies Inc.,, Green River, WY 82935","Worker was welding two pieces of pipe when one of the pieces shifted, striking and fatally injuring him."
FY 2011,12/11/10,12/05/10,"Independent (automotive repair),, Las Vegas, NV 89115","Worker was changing the left front tire of a semi truck with a trailer attached when the jack slipped, causing the truck to fall, crushing his head."
FY 2011,12/11/10,12/05/10,"Odyssey Contracting Corp.,, Sedgwick, ME  04676","Worker was dismantling an outrigger from a bridge, using a bucket truck, and fell 38 feet to the ground."
FY 2011,12/11/10,12/06/10,"South Texas Construction,, Laredo, TX  78501",Worker was performing decking work at a height of 30-35 feet above ground level and fell through the decking.
FY 2011,12/11/10,12/07/10,"Precision Pipeline,, Elko County, NV 89801","Worker was struck by pipe that was being lowered into an excavation by a side-boom pipe layer, causing him to fall into the excavation. The pipe, consisting of 10 sections of 80-foot pipe that were welded together, then fell on top of him."
FY 2011,12/11/10,12/07/10,"Priset Construction,, Wellsboro, PA  16901","Worker fell two and a half stories from a scaffold, striking his head on a pillar below."
FY 2011,12/11/10,12/09/10,"Gulf Stream Marine, Inc.,, Houston, TX  77015","Worker was conducting checker activities at the unloading area.  The driver pulled the tractor trailer forward, causing the worker to fall down under the path of the trailer wheels."
FY 2011,12/11/10,12/09/10,"Proctor & Associates, Inc.,, Richmond Hill, GA  31324",Worker was setting steel bar joists on a concrete-block wall and was knocked off the wall.
FY 2011,12/11/10,12/09/10,"Tyson Foods, Inc., Nashville Feed Mill,, Nashville, AR  71852",Worker was working at a grain bin.   The grain bin collapsed.
FY 2011,12/11/10,12/09/10,"West Penn Energy Services llc Inc.,, Sherocta, PA  15774",Worker was heating a valve on the rear of a water truck with a propane torch and an explosion occurred.
FY 2011,12/18/10,12/01/10,"Bob Davis Paint & Drywall, Inc.,, Galveston, TX 77554","Worker was operating an aerial lift to perform painting on a 4-story condominium, when he was pinned between the building and the control station in the elevated working platform.  His body pushed against the joystick that controlled the lift, causing it to push him even more against the building, which eventually caused his death. "
FY 2011,12/18/10,12/09/10,"S. Digregorio & Son, Inc.,, Silver Spring, MD 20910",Worker was found under an overhead door.
FY 2011,12/18/10,12/09/10,"Shawn Smith Contracting,, Everett, MA 02149",Worker fell from lower level while installing asphalt roof shingles.
FY 2011,12/18/10,12/10/10,"Highways Inc.,, Montery, TN 38574",Bulldozer operator was backing down a slope preparing for seeding. Bulldozer flipped over twice and worker was ejected after hitting his head on dash.
FY 2011,12/18/10,12/11/10,"Wayne Farms,, Decatur, AL 35602","Worker fell from a vertical staircase located in the locker room. She cut her lip and was taken to the medical room, where she later passed out in the chair. She was rushed to the emergency room, where she was pronounced dead."
FY 2011,12/18/10,12/13/10,"Bronco Drilling,, Edmond, OK 73019","The drilling rig crew was making a connection, when a worker threw a chain over his shoulder. The chain wrapped around the line going into the drum, and the worker was pulled into the draw works."
FY 2011,12/18/10,12/13/10,"Radi LLC,, Garyville, LA 70051","Worker fell into the Mississippi River under the barge he was working on. He was admitted to a hospital, where he later died."
FY 2011,12/18/10,12/14/10,"Eagle Insulation LLC.,, Westlake, LA  70669",Worker was stepping out of his vehicle and fell over onto the ground.
FY 2011,12/18/10,12/14/10,"Eclipse Construction Company,, Etters, PA 17319",A 15- to 20-foot trench collapsed on two workers who were inside helping to move storm drain pipes.
FY 2011,12/18/10,12/14/10,"Francisco Becerra,, Prosper, TX 75078","Worker suffered fatal injuries when he fell from a second floor area, which was not equipped with guardrails or fall protection, to the floor of the foyer below."
FY 2011,12/18/10,12/15/10,"S. Miller Excavating,, Attica, OH 44807",Owner of an excavating company performing forestry operations was killed after being struck by a falling branch.
FY 2011,12/18/10,12/16/10,"Marshall Durbin Food Corp,, Hattiesburg, MS 39401",Worker was picking up trash on the side of the access road and stepped in front of a truck.
FY 2011,12/18/10,12/16/10,"Osi Industries LLC,, Chicago, IL 60609",Worker was fatally injured while working on a grease recovery platform. Worker was attempting to use a boom pipe to fill a tanker truck with grease and collapsed on the platform.
FY 2011,12/25/10,12/12/10,"L.C. Halstead,, Jefferson, WV 25177","Worker was walking behind the company utility truck as it was backing up, and worker was struck by a truck."
FY 2011,12/25/10,12/16/10,"L Kenneth Hinkle & Son,, Quakertown, PA 18951",The worker was struck by a backing trash collection vehicle.
FY 2011,12/25/10,12/18/10,"T.W.A. Express LLC,, St. Louis, MO 63147",The worker was underneath his assigned truck possibly attempting to separate the tractor from its trailer. The trailer collapsed unexpectedly striking the worker in the head.
FY 2011,12/25/10,12/19/10,"All Catastrophe Construction Team,, Macon, GA 31238","Worker was standing on the concrete crusher when another employee operating a track hoe mistakenly hit the victim, causing him to fall to the ground."
FY 2011,12/25/10,12/20/10,"Asplundh Tree Expert Company,, Trenton, OH 45067",Worker was walking across a single train track trestle bridge and was struck by the train.
FY 2011,12/25/10,12/20/10,"Lewis Construction INC,, Chippewa Falls, WI 54729","Worker was pouring concrete into forms. The form system failed, crushing the worker."
