Date of Incident,"Company, City, State, ZIP",Preliminary Description of Incident,Fatality or Catastrophe,Inspection #,,,,,,,,,,,,,
8/22/2014,"Benton County Highway Department, Fowler, IN 47944                        ",Worker struck and killed by tire that exploded during inflation.,Fatality,,,,,,,,,,,,,,
8/22/2014,"Charitable Services Company, Lagrange, GA 30241",Worker fatally injured by lawn mower.,Fatality,,,,,,,,,,,,,,
8/22/2014,"Payne Steel Erectors Incorporated, Memphis, TN 38108",Worker killed in fall from manlift.,Fatality,,,,,,,,,,,,,,
8/21/2014,"City of Campbellsville Fire Department,                  Campbellsville, KY 42718                   ",Two workers electrocuted after contacting overhead powerlines. ,Fatality,,,,,,,,,,,,,,
8/21/2014,"Cleveland Track Material, Cleveland, OH 44104",Worker killed when his clothes were caught in milling machine.,Fatality,,,,,,,,,,,,,,
8/21/2014,"David A Bramble Inc., Chestertown, MD 21620",Worker flagging traffic struck and killed by motor vehicle.,Fatality,,,,,,,,,,,,,,
8/21/2014,"David A. Bramble Inc., Chestertown, MD 21620",Worker conducting traffic flagging operations struck and killed by motor vehicle.,Fatality,,,,,,,,,,,,,,
8/21/2014,"Irish Acres Dairy LLC, Butler, IN 46721",Worker killed when tractor struck safety rail.,Fatality,,,,,,,,,,,,,,
8/21/2014,"Kirk Knauss Roofers, Silver Spring, MD 20910",Worker at residential construction site killed in fall from roof.,Fatality,,,,,,,,,,,,,,
8/21/2014,"Kirk Knauss Roofers, Silver Spring, MD 20910",Worker at residential construction site killed in fall from roof.,Fatality,,,,,,,,,,,,,,
8/21/2014,"Madden Bolt Corporation, Houston, TX 77040",Worker struck and killed by flying debris in explosion. ,Fatality,,,,,,,,,,,,,,
8/21/2014,"Palmer of Texas, Loco Hills, NM 88255                            ",Worker electrocuted when aerial lift contacted power line.,Fatality,,,,,,,,,,,,,,
8/21/2014,"Socotherm Gulf of Mexico LLC, Channelview, TX 77530",Worker died after being caught between pipe and cabinet.,Fatality,,,,,,,,,,,,,,
8/21/2014,"Woodruff & Sons Inc., Saint Petersburg, FL 33702",Heavy equipment operator crushed when roller overturned.,Fatality,,,,,,,,,,,,,,
8/20/2014,"Rayco Pumping Unit Service, Colorado, TX 79512",Two workers electrocuted after contacting overhead power lines.,Fatality,,,,,,,,,,,,,,
8/20/2014,"Success Valley Farms, Camarillo, CA 93010",Worker killed when tractor went into watershed ditch.,Fatality,,,,,,,,,,,,,,
8/20/2014,"WMAS Management LLC, Kilauea, HI 96754",Worker killed after becoming pinned under lawnmower.,Fatality,,,,,,,,,,,,,,
8/19/2014,"Integrity Texas Construction, North Richland Hills, TX 76180",Worker electrocuted while installing HVAC unit.,Fatality,,,,,,,,,,,,,,
8/18/2014,"Blooming Land & Turf Management Inc., Sarasota, FL 34233",Worker painting road struck and killed by truck.   ,Fatality,,,,,,,,,,,,,,
8/18/2014,"Chalk Mountain Services of Texas LLC, San Antonio, TX 78258",Worker fatally engulfed when stack of sand bags collapsed.,Fatality,,,,,,,,,,,,,,
8/18/2014,"Hunter Landscaping, La Puente, CA 91744",Worker struck and killed by vehicle.,Fatality,,,,,,,,,,,,,,
8/18/2014,"P & M Construction Inc., Watertown, NY 13601",Worker fataly crushed by metal lathe.,Fatality,,,,,,,,,,,,,,
8/17/2014,"""C"" Schlicht Plumbing Inc., Milwaukee, WI 53203",Owner killed in fall from step-ladder.,Fatality,,,,,,,,,,,,,,
8/17/2014,"Walmart, Kalispell, MT 59901",Worker killed in fall from ladder.,Fatality,,,,,,,,,,,,,,
8/16/2014,"Central Florida Equipment Rentals Inc., South Bay, FL 33493",Worker drowned when bulldozer became submerged in water hole.,Fatality,,,,,,,,,,,,,,
8/15/2014,"Car Finders of Maryland LLC, Eldersburg, MD 21784",Worker performing maintenance killed when vehicle fell from jack.,Fatality,,,,,,,,,,,,,,
8/15/2014,"DBA Car Finders of Maryland LLC, Eldersburg, MD 21784",Worker struck and killed by car that fell from jack stand.,Fatality,,,,,,,,,,,,,,
8/15/2014,"Home Depot USA Inc., Tampa, FL 33604",Worker killed in fall from step ladder.,Fatality,,,,,,,,,,,,,,
8/15/2014,"P A R Management, Provo, UT 84601",Worker electrocuted while conducting HVAC work.,Fatality,933255,,,,,,,,,,,,,
8/15/2014,"United States Elevator Inc., Atlantic City, NJ 08401",Worker performing maintenance on elevator roof fatally crushed by counterweights.,Fatality,,,,,,,,,,,,,,
8/14/2014,"Baboquivari Unified School District, Sells, AZ 85634",Landscaping worker struck and killed by lightning.,Fatality,,,,,,,,,,,,,,
8/14/2014,"Jimco Intergraded Services, Hamilton, MS 39746",Worker drowned in waste water pond after being pinned under dredge machine.,Fatality,,,,,,,,,,,,,,
8/13/2014,"Delco Trailers LLC, Sumner, TX 75486",Worker killed in explosion.,Fatality,,,,,,,,,,,,,,
8/13/2014,"Grigg Concrete, Springdale, AR 72762",Worker operating under trailer killed when axle fell.,Fatality,,,,,,,,,,,,,,
