Date of Incident,"Company, City, State, ZIP",Preliminary Description of Incident,Fatality or Catastrophe,Inspection #,,,,,,,,,,,,,
2/12/2014,"358 Elmwood Ave MCM Auto Sales LLC, Providence, RI 02907",Worker struck and killed by tow truck.  ,Fatality,,,,,,,,,,,,,,
2/12/2014,"MTA NYCT DOB MJ Quill Depot, NYC, NY 10018",Worker was killed in vehicle collision.,Fatality,,,,,,,,,,,,,,
2/12/2014,"Tanner Timber Services LLC, Kountze, TX 77625",Worker struck and killed by log while feeding it into a bull edger. ,Fatality,,,,,,,,,,,,,,
2/11/2014,"Anderson Farms Inc., Heyburn, ID 83336",Worker killed after falling into a feed mixer.,Fatality,,,,,,,,,,,,,,
2/11/2014,"H&E Equipment Services, Inc., Los Angeles, CA 90015",Worker died when the boom lift he was in was struck by a bus. ,Fatality,,,,,,,,,,,,,,
2/11/2014,"Nucor Steel, Blytheville, AR 72315",Train operator died after being caught between locomotive and a derailed car.,Fatality,,,,,,,,,,,,,,
2/11/2014,"WAH, Inc., Enterprise, OR  97828",Cross-country skiing guide was killed in an avalanche.,Fatality,,,,,,,,,,,,,,
2/10/2014,"Brindle Technical Logging, Inc., Morton, WA 98356",Worker was struck and killed by a log.,Fatality,,,,,,,,,,,,,,
2/10/2014,"New Hampshire Ball Bearing, Peterborough, NH 03458",Eight workers hospitalized after a drum of nitric acid solution exploded.,Catastrophe,,,,,,,,,,,,,,
2/10/2014,"Randy Sterling Trucking Inc., Morrisdale, PA 16858",Worker killed when truck rolled over him during repairs.,Fatality,,,,,,,,,,,,,,
2/10/2014,"Sperle Family Farm, Napoleon, ND 58561",Worker died after being engulfed by grain.,Fatality,,,,,,,,,,,,,,
2/10/2014,"Wheeler Electric Inc., Idaho Falls, ID 83404",Worker struck and killed by a switch panel. ,Fatality,,,,,,,,,,,,,,
2/9/2014,"Jarrell Contractors Inc., Fairview, WV 26570",Three workers hospitalized from overexposure to carbon monoxide.  ,Catastrophe,,,,,,,,,,,,,,
2/8/2014,"Sierra Lawn Care Service, Saint Petersburg, FL 33705",Worker electrocuted by powerline while trimming trees. ,Fatality,,,,,,,,,,,,,,
2/8/2014,"Total Appearance Exhibit Service Inc., Tulare, CA  93274",Worker was struck and killed by a tractor trailer.,Fatality,,,,,,,,,,,,,,
2/7/2014,"Interfacing Company of Texas Inc., Manvel, TX 77578",Worker killed in trench collapse. ,Fatality,,,,,,,,,,,,,,
2/7/2014,"Qc of Kentucky Inc., Calvert City, KY 42029",Worker died after inhaling nitrogen.,Fatality,,,,,,,,,,,,,,
2/6/2014,"Don Hamann, Inc., Selma, OR 97538",Worker was struck and killed by a tree limb.,Fatality,,,,,,,,,,,,,,
2/6/2014,"Jack Spring Electrical Contractors Inc., Benton, LA 71006",Worker electrocuted while repairing a transformer.,Fatality,,,,,,,,,,,,,,
2/5/2014,"Advocate Good Shepherd Hospital, Barrington, IL 60010",Worker struck and killed by snow plow.,Fatality,,,,,,,,,,,,,,
2/5/2014,"Kahanakoa Construction, Inc., Holualou, HI 96725",Worker died when a drum compactor crashed into a carport.,Fatality,,,,,,,,,,,,,,
2/4/2014,"Brickell Hotel Group LLP, Miami, FL 33130",Worker killed in vehicle collision.,Fatality,,,,,,,,,,,,,,
2/4/2014,"Via Christi Hospital, Pittsburg, KS 66762",Nurse struck and killed by motor vehicle.,Fatality,,,,,,,,,,,,,,
2/4/2014,"Wayne Terry, Brooksville, KY 41004",Worker killed in fall through manhole.,Fatality,,,,,,,,,,,,,,
2/3/2014,"Enterprise Farms, Moravia, NY 13118",Worker killed after being caught in a feed auger.,Fatality,,,,,,,,,,,,,,
2/3/2014,"NEL & Sons Inc., Coral Gables, FL 33134",Worker killed in fall from ladder.,Fatality,,,,,,,,,,,,,,
2/3/2014,"Patron Services LLC, Artesia, NM  88210",Worker was electrocuted when crane contacted a powerline.,Fatality,,,,,,,,,,,,,,
2/2/2014,"Eastern Truck Equipment LLC, Boonsboro, MD 21713",Worker was struck and killed by a tractor tire that exploded during inflation.,Fatality,,,,,,,,,,,,,,
2/2/2014,"Happy Dog Restaurant, Cleveland, OH 44102",Worker died in fall down stairs.,Fatality,,,,,,,,,,,,,,
2/1/2014,"Med Care Pharmacy LLC, Grayson, KY 41042",Worker killed in motor vehicle collision.,Fatality,,,,,,,,,,,,,,
2/1/2014,"S. & S. Communication Specialist Inc., Clarksburg, WV 26301",Two workers killed in a communications tower collapse.,Fatality,,,,,,,,,,,,,,
1/31/2014,"Curtis Steel Co., Inc., Las Vegas, NV 89102",Worker struck and killed by bundle of steel.,Fatality,,,,,,,,,,,,,,
1/31/2014,"Erosion Control & Landscape Services Inc., Pikeville, MD 21108",Worker was struck and killed by a motor vehicle.,Fatality,,,,,,,,,,,,,,
1/31/2014,"Maruichi Leavitt Pipe & Tube, Chicago, IL 60643",Worker cutting metal tubing died after being caught by a large band saw. ,Fatality,,,,,,,,,,,,,,
1/31/2014,"Step Above Home Maintenance, Farmington Hills, MI 48335",Worker died in fall from roof.,Fatality,,,,,,,,,,,,,,
1/31/2014,"United Mechnical Corporation, Shelby, NC  28151",Worker struck and killed by a pipe.,Fatality,,,,,,,,,,,,,,
1/30/2014,"Jesus Orta, Forney, TX 75126",Worker killed in fall from scaffold while finishing drywall.,Fatality,,,,,,,,,,,,,,
1/30/2014,"Mayville Engineering, Beaver Dam, WI 53916",Worker killed in vehicle collision during a snow storm. ,Fatality,,,,,,,,,,,,,,
1/30/2014,"Mersen USA St. Marys-PA Corporation, Saint Marys, PA 15857",Worker killed when an industrial oven exploded.,Fatality,,,,,,,,,,,,,,
1/29/2014,"Graham Lumber Company, Selmer, TN  38375",Worker killed after being caught by a conveyor.,Fatality,,,,,,,,,,,,,,
1/29/2014,"NTS Incorporated of Texas, Wheeler, TX 79096",Four workers hospitalized for burns after a natural gas pipeline explosion.,Catastrophe,,,,,,,,,,,,,,
1/29/2014,"VCA Buckeahd, NE Atlanta, GA 30324",Worker died after being dragged by dog he was walking.,Fatality,,,,,,,,,,,,,,
1/28/2014,"Compressed Air Systems LLC, Grand Prairie, TX 75052",Worker struck and killed when an air compressor exploded during maintenance.,Fatality,,,,,,,,,,,,,,
1/28/2014,"Derr & Isbell Construction LLC, Waco, TX 76704",Worker in a hydraulic boom lift died when it fell off a barge.,Fatality,,,,,,,,,,,,,,
1/27/2014,"Dan and Maes Dairy, Westford, NY 13488",Worker killed when his clothes caught in a corn chopper and pulled him into the machine.,Fatality,,,,,,,,,,,,,,
1/27/2014,"Holy Cross Energy, Silt, CO 81652",Worker inspecting power lines was killed in a helicopter crash.  ,Fatality,,,,,,,,,,,,,,
1/27/2014,"IL State Toll Highway Authority,  Aurora, IL  60507",One worker was killed and another hospitalized after being struck by a motor vehicle while providing roadside assistance.,Fatality,,,,,,,,,,,,,,
1/26/2014,"Cheek Enterprises Inc., Senatobia, MS 38668",Employer died in fall from ladder.,Fatality,,,,,,,,,,,,,,
1/25/2014,"Jose Luiz Martinez, Gainesville, GA 30506",Employer died in fall from elevated bucket while removing a tree.,Fatality,,,,,,,,,,,,,,
1/25/2014,"Snapper Generator & Starter Repair, Atlanta, GA 30310",Worker installing a transmission underneath vehicle was crushed when the car fell onto him. ,Fatality,,,,,,,,,,,,,,
1/24/2014,"Arborcare Tree Experts, Inc., Lutherville, MD  21093",Worker was struck and killed by falling tree branch.,Fatality,,,,,,,,,,,,,,
1/24/2014,"GPS Plumbing, Bethesda, MD  20814",Worker struck and killed while working in a trench.,Fatality,,,,,,,,,,,,,,
1/24/2014,"Mario Martinez dba Martinez Fence Company, Nashville, TN 37210",Worker struck and killed by a bundle of pipes that fell from truck.,Fatality,,,,,,,,,,,,,,
1/24/2014,"Mark Trabucco, Los Olivos, CA 93441",Worker killed when bulldozer overturned.,Fatality,,,,,,,,,,,,,,
1/24/2014,"Offshore Rentals Ltd, Golden Meadow, LA 70357",Worker struck and killed by a forklift. ,Fatality,,,,,,,,,,,,,,
1/24/2014,"Paragon Industries Inc., Sapulpa, OK 74066",Worker died after falling off and being run over by loader.  ,Fatality,,,,,,,,,,,,,,
1/24/2014,"Phoenix Refrigeration, Inc., Grand Rapids, MI 49534",Worker killed in fall from ladder.,Fatality,,,,,,,,,,,,,,
1/24/2014,"Quick Transport of Arkansas Inc., Knoxville, AR 72845",Worker struck and killed when trailer hatch exploded during defrosting with propane torch.,Fatality,,,,,,,,,,,,,,
1/24/2014,"R.V.H. Trucking, LLC, Mentone, IN 46539",Worker killed when an air dryer exploded.,Fatality,,,,,,,,,,,,,,
1/24/2014,"The Anderson White Pigeon Grain, White Pigeon, MI 49099",Worker suffocated after falling  through hatch into  a railroad car filled with soybeans,Fatality,,,,,,,,,,,,,,
1/23/2014,"A-1 Florida Sod Inc., Mulberry, FL 33860",Worker died after being crushed in motorized equipment.,Fatality,,,,,,,,,,,,,,
1/23/2014,"Exterior Recovery, Inc., Raleigh, NC 27616",Worker died in fall while applying commercial siding.  ,Fatality,,,,,,,,,,,,,,
1/23/2014,"Romeo Dimon Marine Service Inc., Mattituck, NY 11952",Worker crushed by the bucket of a compact track loader.,Fatality,,,,,,,,,,,,,,
1/23/2014,"The Traffic Group Inc., Van Buren AR 72957",Worker struck and killed by motor vehicle.,Fatality,,,,,,,,,,,,,,
1/23/2014,"US Army Reserve-AMSA, Guaynabo, PR 00965",Forklift operator struck and killed by a fire extinguisher that exploded during disposal.  ,Fatality,,,,,,,,,,,,,,
1/22/2014,"International Paper, Bogalusa, LA 70427",Worker drowned when front end loader went into a water catchment basin.,Fatality,,,,,,,,,,,,,,
1/22/2014,"Linn Dale Logging, Pollock, TX 75969",Worker struck and killed by falling tree while performing logging work.,Fatality,,,,,,,,,,,,,,
1/22/2014,"Riddle Painting & Coatings, Phoenix, AZ 85009",Two workers killed when aerial lift tipped over.,Fatality,,,,,,,,,,,,,,
1/22/2014,"Weathercraft Co. of Colorado Springs, Colorado Springs, CO 80903",Worker struck and killed by a failed cable on an outside fire escape system.,Fatality,,,,,,,,,,,,,,
1/21/2014,"George B Stone Company, LLC, Wilmore, KY 40374",Worker struck and killed by motor vehicle.,Fatality,,,,,,,,,,,,,,
1/21/2014,"Global Pacific Environmental, Inc., White City, OR 97503",Worker crushed between wall and dump truck.,Fatality,,,,,,,,,,,,,,
1/21/2014,"Lineage LLC, Dacoma, OK 73731",Worker killed when his vehicle was struck by a train. ,Fatality,,,,,,,,,,,,,,
1/21/2014,"Sully Truck Wash, Inc., Sully, IA  50251",One worker died and two hospitalized after becoming trapped in a truck wash tank trailer. ,Fatality,,,,,,,,,,,,,,
1/20/2014,"7 Seas Seafood, Montebello, CA 90640",Worker crushed beneath car.,Fatality,,,,,,,,,,,,,,
1/20/2014,"Ball Cabinet Shop, New Braunfels, TX 78130",Worker killed in fall from scaffold. ,Fatality,,,,,,,,,,,,,,
1/20/2014,"El Dorado Livestock Auction, El Dorado, KS 67042",Worker died in fall from horse.,Fatality,,,,,,,,,,,,,,
1/20/2014,"International Nutrition Inc., Omaha, NE 68127",Two workers killed in structure collapse. ,Fatality,,,,,,,,,,,,,,
1/20/2014,"Kel-Log Inc., Errol, NH 03579",Worker struck and killed by semi-truck while installing snow chains on tires of company vehicle. ,Fatality,,,,,,,,,,,,,,
1/20/2014,"Lobar Inc., Windsor, PA 17366",Worker crushed under fallen switchgear. ,Fatality,,,,,,,,,,,,,,
1/20/2014,"Mid American Steel & Wire, Madill, OK 73446",Two workers killed in an electric arc furnace explosion.  ,Fatality,,,,,,,,,,,,,,
1/20/2014,"Rich Valley Farms Inc., Red Bud, IL 62278",Worker died after falling into grain bin filled with corn.,Fatality,,,,,,,,,,,,,,
1/18/2014,"Dement Construction Company, LLC,  Stanton, TN  38069",Worker crushed between aerial lift control panel and concrete beam. ,Fatality,,,,,,,,,,,,,,
1/18/2014,"Ground Earth Inc., Fall River,  MA 02721",Employer working under vehicle was crushed when it rolled over him.,Fatality,,,,,,,,,,,,,,
1/18/2014,"Precision Drilling Corporation, Rankin, TX 79778",Worker crushed between fallen section of derrick and wheel. ,Fatality,,,,,,,,,,,,,,
1/17/2014,"Crown Equipment Corp, Carmichael, CA 95608",Worker crushed by frame of forklift.,Fatality,,,,,,,,,,,,,,
1/17/2014,"Kansas Hardwoods Inc., Belvue, KS 66407",Worker struck and killed by tree while engaged in logging activities.,Fatality,,,,,,,,,,,,,,
1/17/2014,"Katz Transportation LLC, Piscataway, NJ 08854",Worker crushed by load of metal racks that fell from flatbed truck. ,Fatality,,,,,,,,,,,,,,
1/17/2014,"Sempervivum, Glen Ellen, CA 95442",Worker struck and killed by scraper tractor.,Fatality,,,,,,,,,,,,,,
1/16/2014,"Dawn Til Dusk, LLC, Toldeo, WA 98591",Worker struck and killed by falling trees.,Fatality,,,,,,,,,,,,,,
1/16/2014,"Ehret Roofing, Burlington, IA 52601",Worker died in fall from roof.,Fatality,,,,,,,,,,,,,,
1/16/2014,"Fire Stop Systems Inc., Miami Beach, FL 33139",Worker died in fall from scaffold. ,Fatality,,,,,,,,,,,,,,
1/16/2014,"Fred Loya Insurance, El Paso, TX 79935",Worker killed in motor vehicle collision.,Fatality,,,,,,,,,,,,,,
1/16/2014,"GLF Construction Corp., Lamont, FL 32336",Worker was crushed when a bridge panel fell on him during removal.,Fatality,,,,,,,,,,,,,,
1/16/2014,"Plant City Air, Saint Petersburg, FL 33711",Worker caulking holes died in fall from false ceiling.,Fatality,,,,,,,,,,,,,,
1/16/2014,"Sea Watch International LTD, New Bedford, MA 02740",Worker killed when his clothes became entangled in the rotating shaft of a shucking machine.,Fatality,,,,,,,,,,,,,,
1/16/2014,"Sunset Contractors & Recycling, Inc., Rio Piedras, PR 00925",Worker died in falll.,Fatality,,,,,,,,,,,,,,
1/16/2014,"Titanium Roofing, LLC, Honolulu, HI 96819",Worker died in fall through a skylight.,Fatality,,,,,,,,,,,,,,
1/15/2014,"Advanced Technical Staffing,  LaGrange, TN  38046",Worker struck and killed by tree while performing cutting operations.,Fatality,,,,,,,,,,,,,,
1/15/2014,"Forest Memorial Christian Church, Pittsburg, CA 94565",Worker killed in fall from roof while making repairs. ,Fatality,,,,,,,,,,,,,,
1/15/2014,"JM Test Systems, Refugio, TX 78377",Worker delivering equipment killed in vehicle collision.,Fatality,,,,,,,,,,,,,,
1/15/2014,"Riverview Materials, Riverdale, IL 60827",Worker killed when caught between moving conveyor and hopper wall.  ,Fatality,,,,,,,,,,,,,,
1/15/2014,"W.A. Chester LLC, Washington, DC 20016",Worker standing in back of truck was struck and killed by another vehicle.,Fatality,,,,,,,,,,,,,,
1/14/2014,"Allegheny Property Rental Management, LLC, Cumberland, MD 21502",One worker died and another hospitalized from carbon monoxide exposure.,Fatality,,,,,,,,,,,,,,
1/14/2014,"County Petroleum Products, Ferndale, NY 12734",Worker died in fall from top of fuel truck.,Fatality,,,,,,,,,,,,,,
1/14/2014,"Custom Gutters, Post Falls, ID 83854",Employer died in fall while preparing gutter installation. ,Fatality,,,,,,,,,,,,,,
1/14/2014,"M Z Flooring, Canyon Lake, TX 78133",Worker performing painting operations was killed in fall.,Fatality,,,,,,,,,,,,,,
1/14/2014,"Park Group Construction LLC, Cameron, LA 70631",Four carpenters were hospitalized after being shocked by power lines during scaffold setup.,Catastrophe,,,,,,,,,,,,,,
1/14/2014,"Summit Engineering Inc., Pikeville, KY 41501",Worker killed in motor vehicle collision.,Fatality,,,,,,,,,,,,,,
1/13/2014,"Danceworks Chicago Inc., Chicago, IL 60630",Dancer struck and killed by a steel aerial acrobatics ring during rehearsal.,Fatality,,,,,,,,,,,,,,
1/13/2014,"F.W. Kibler Milling Co. Inc., Mount Orab, OH 45154",Worker unloading a pallet from boom truck was killed when  forklift tipped over.,Fatality,,,,,,,,,,,,,,
1/13/2014,"Hirai Farms LLC, Wendell, ID 83355",Worker crushed between a semi-truck and a combine.,Fatality,,,,,,,,,,,,,,
1/13/2014,"J. H. Findorff & Son Inc., Madison, WI 53725",Worker died after falling from a scaffold.,Fatality,,,,,,,,,,,,,,
1/13/2014,"Lee's Transport Company Inc., Holden, WV 25625",Worker died in fall from flat bed trailer.,Fatality,,,,,,,,,,,,,,
1/13/2014,"Moorhead Brothers Inc., London, OH 43140",Worker struck and killed by a truck.,Fatality,,,,,,,,,,,,,,
1/13/2014,"Pirtle Farms, LP , Dexter, NM 88230",Worker struck and killed by falling corn silage.,Fatality,,,,,,,,,,,,,,
1/13/2014,"Skyline Roofing, Inc., St. George, UT 84770",Worker died in fall from roof.,Fatality,,,,,,,,,,,,,,
1/12/2014,"Auto Laundry Car Wash Corporation, Brooklyn, NY 11216",Worker struck and killed by motor vehicle.,Fatality,,,,,,,,,,,,,,
1/12/2014,"Maryland Environmental Service, Scotland, MD  20619",Worker killed in fall from ladder.,Fatality,,,,,,,,,,,,,,
1/11/2014,"TVEK Enterprises, Mingo Junction, OH 43938",Worker died after becoming caught in belt and pulley moving dirt pile.,Fatality,,,,,,,,,,,,,,
1/10/2014,"Dept. of Homeland Security Customs Border Patrol, Falfurrias, TX 78355",Three border patrol workers hospitalized when their helicopter made a hard-landing.,Catastrophe,,,,,,,,,,,,,,
1/10/2014,"Gary Jurin Logging, Hayfork, CA 96041",Worker fatally crushed by fallen tree.,Fatality,,,,,,,,,,,,,,
1/10/2014,"Grand Villa of Delray West, Delray Beach, FL 33484",Worker drowned when the vehicle he was driving was carried away by floodwater.,Fatality,,,,,,,,,,,,,,
1/10/2014,"South Georgia Staffing Inc., Sparks, GA 31647",Worker struck and killed by vehicle.,Fatality,,,,,,,,,,,,,,
1/9/2014,"Greene's Energy Group LLC, Campo, CO 81029",Worker struck and killed by chocker while trying to free semi-truck from an excavator.,Fatality,,,,,,,,,,,,,,
1/9/2014,"United Signs & Signals Inc., Hernando, FL 34442",Three workers hospitalized after being struck and shocked by falling light pole. ,Catastrophe,,,,,,,,,,,,,,
1/8/2014,"Motion Envelopes, Dallas, TX 75212",Worker electrocuted while working on press machine.,Fatality,,,,,,,,,,,,,,
1/8/2014,"Pacific Architects and Engineers Inc., Eglin AFB, FL 32542",Worker died after being engulfed in fire suppressant foam that  filled hangar.,Fatality,,,,,,,,,,,,,,
1/8/2014,"R R Dawson Bridge Company LLC, Montgomery, AL 36101",Two workers killed in fall from aerial platform. ,Fatality,,,,,,,,,,,,,,
1/8/2014,"TOA (USA), LLC, Mooresville, IN 46158",Worker died from burns caused by a stationery welder.,Fatality,,,,,,,,,,,,,,
1/7/2014,"Bill Collins Ford, Inc. , Louisville, KY 40218",Worker pinned and crushed by car during oil change.,Fatality,,,,,,,,,,,,,,
1/7/2014,"Messer Construction Co. Inc., Amarillo, TX 79109",Worker struck and killed by vehicle that fell off fork lift. ,Fatality,,,,,,,,,,,,,,
1/7/2014,"Siletz Trucking, Inc. , Grand Ronde, OR 97347",Worker killed when log truck he was driving fell down a ravine.,Fatality,,,,,,,,,,,,,,
1/7/2014,"Tiger Sanitation Inc., San Antonia, TX 78263",Worker struck and killed by vehicle while exiting refuse collection truck. ,Fatality,,,,,,,,,,,,,,
1/6/2014,"Benton Packing, LLC, Clearfield, UT 84016",Worker struck and killed by a motor vehicle.,Fatality,,,,,,,,,,,,,,
1/6/2014,"North Coast Iron Corp, Seattle, WA 98109",Worker killed in fall from scaffold.,Fatality,,,,,,,,,,,,,,
1/4/2014,"H & L Landscaping Inc., Sanford, FL 32773",Worker electrocuted by overhead power lines while tree trimming.,Fatality,,,,,,,,,,,,,,
